,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,Argentina,Australia,Austria,Bulgaria,Canada,Chile,Croatia,France,Georgia,Germany,Greece,Hungary,Israel,Italy,Japan,Korea,Moldova,NewZealand,Portugal,Romania,Slovenia,Spain,SouthAfrica,UK,Uruguay,USA
254,125000,85000,,,,60000,,60000,,,,,,45000,,,,,,,,5000,,,,25000
255,60000,85000,,,,85000,,60000,,,,,,125000,,,,,,,,5000,,,,25000
256,45000,85000,,,,60000,,125000,,,,,,35000,,,,,,,,15000,,,,25000
257,45000,35000,,,,15000,,225000,,,,,,85000,,,,,,,,25000,,,,125000
258,60000,35000,,,,25000,,125000,,,,,,35000,,,,,,,,15000,,,,85000
259,60000,175000,,,,35000,,175000,,,,,,35000,,,,,,,,60000,,,,85000
260,85000,175000,,,,35000,,275000,,,,,,125000,,,,,,,,60000,,,,125000
261,125000,125000,,,,35000,,35000,,,,,,60000,,,,,,,,25000,,,,125000
262,15000,5000,,,,225000,,35000,,,,,,125000,,,,,,,,45000,,,,175000
263,,5000,,,,85000,,175000,,,,,,225000,,,,,,,,25000,,,,375000
264,,45000,,,,85000,,60000,,,,,,85000,,,,,,,,375000,,,,175000
265,,45000,,,,35000,,35000,,,,,,125000,,,,,,,,125000,,,,175000
266,,35000,,,,35000,,35000,,,,,,125000,,,,,,,,15000,,,,375000
267,,5000,,,,35000,,60000,,,,,,45000,,,,,,,,15000,,,,175000
268,,5000,,,,35000,,375000,,,,,,175000,,,,,,,,35000,,,,175000
269,,15000,,,,25000,,125000,,,,,,85000,,,,,,,,60000,,,,125000
270,,15000,,,,25000,,175000,,,,,,60000,,,,,,,,125000,,,,125000
271,,15000,,,,25000,,25000,,,,,,45000,,,,,,,,60000,,,,125000
272,,15000,,,,25000,,45000,,,,,,35000,,,,,,,,45000,,,,375000
273,,15000,,,,25000,,60000,,,,,,125000,,,,,,,,35000,,,,60000
274,,15000,,,,15000,,45000,,,,,,175000,,,,,,,,60000,,,,375000
275,,35000,,,,15000,,85000,,,,,,325000,,,,,,,,85000,,,,125000
276,,85000,,,,15000,,85000,,,,,,60000,,,,,,,,175000,,,,175000
277,,85000,,,,125000,,125000,,,,,,125000,,,,,,,,85000,,,,25000
278,,60000,,,,85000,,85000,,,,,,85000,,,,,,,,125000,,,,85000
279,,45000,,,,85000,,60000,,,,,,175000,,,,,,,,85000,,,,85000
280,,45000,,,,45000,,85000,,,,,,45000,,,,,,,,275000,,,,85000
281,,5000,,,,60000,,60000,,,,,,60000,,,,,,,,375000,,,,85000
282,,25000,,,,60000,,35000,,,,,,275000,,,,,,,,25000,,,,45000
283,,35000,,,,35000,,85000,,,,,,275000,,,,,,,,35000,,,,85000
